,year,Graded,expected_price,YoY_Growth
0,2020,0.0,0.0,-1.0
1,2021,65208.5,62562.5,0.0845492012875666
2,2022,61584.5,66512.67,-0.16400843238145435
3,2023,54968.75,61676.2125,-0.13056828493949774
4,2024,61592.25,62909.73675000001,0.01311350591813043
5,2025,112409.5,67719.66201,0.45729150726855394
